id,log,seen,semantic_template,template,valid,predict
139,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,False,DHCPACK on {ip_address} to {mac_address} via {interface},DHCPACK on <*> to <*> via eth1,True,DHCPACK on <*> to <*> via <*>
140,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
142,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
143,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
144,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
145,"synchronized to 10.100.30.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
146,data_thread() got not answer from any [Thunderbird_C2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
147,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
148,data_thread() got not answer from any [Thunderbird_B1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
149,data_thread() got not answer from any [Thunderbird_A1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
150,data_thread() got not answer from any [Thunderbird_C4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
151,"synchronized to 10.100.30.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
152,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
153,data_thread() got not answer from any [Thunderbird_A5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
154,data_thread() got not answer from any [Thunderbird_C1] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
155,"synchronized to 10.100.20.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
156,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
157,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
158,data_thread() got not answer from any [Thunderbird_A6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
159,data_thread() got not answer from any [Thunderbird_D7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
160,data_thread() got not answer from any [Thunderbird_A3] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
161,data_thread() got not answer from any [Thunderbird_B6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
162,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,False,[ib_sm_sweep.c:{line_number}]: ********************** NEW SWEEP ********************,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,True,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************
163,data_thread() got not answer from any [Thunderbird_B2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
164,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
165,data_thread() got not answer from any [Thunderbird_B5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
166,data_thread() got not answer from any [Thunderbird_D6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
167,data_thread() got not answer from any [Thunderbird_D8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
168,[ib_sm_sweep.c:1455]: No topology change,False,[ib_sm_sweep.c:{line_number}]: No topology change,[ib_sm_sweep.c:<*>]: No topology change,True,[ib_sm_sweep.c:<*>]: No topology change
169,[ib_sm_sweep.c:1482]: No configuration change required,False,[ib_sm_sweep.c:{line_number}]: No configuration change required,[ib_sm_sweep.c:<*>]: No configuration change required,True,[ib_sm_sweep.c:<*>]: No configuration change required
170,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
171,data_thread() got not answer from any [Thunderbird_A2] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
172,data_thread() got not answer from any [Thunderbird_A7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
173,data_thread() got not answer from any [Thunderbird_B8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
174,data_thread() got not answer from any [Thunderbird_D4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
175,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
176,"synchronized to 10.100.18.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
177,"synchronized to 10.100.28.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
178,data_thread() got not answer from any [Thunderbird_C6] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
179,"synchronized to 10.100.16.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
180,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
181,data_thread() got not answer from any [Thunderbird_B7] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
182,"synchronized to 10.100.22.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
183,data_thread() got not answer from any [Thunderbird_A4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
184,data_thread() got not answer from any [Thunderbird_B4] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
185,data_thread() got not answer from any [Thunderbird_C8] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
186,"synchronized to 10.100.24.250, stratum 3",False,"synchronized to {ip_address}, stratum {stratum_number}","synchronized to <*>, stratum <*>",True,"synchronized to <*>, stratum <*>"
187,data_thread() got not answer from any [Thunderbird_C5] datasource,False,data_thread() got not answer from any [{datasource_name}] datasource,data_thread() got not answer from any [<*>] datasource,True,data_thread() got not answer from any [<*>] datasource
188,DHCPACK on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,False,DHCPACK on {ip_address} to {mac_address} via {interface},DHCPACK on <*> to <*> via eth1,True,DHCPACK on <*> to <*> via <*>
189,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1,True,DHCPDISCOVER from <*> via <*>
190,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1,True,DHCPDISCOVER from <*> via <*>
191,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,False,DHCPOFFER on {ip_address} to {mac_address} via {interface},DHCPOFFER on <*> to <*> via eth1,True,DHCPOFFER on <*> to <*> via <*>
192,DHCPOFFER on 10.100.4.251 to 00:11:43:e3:ba:c3 via eth1,False,DHCPOFFER on {ip_address} to {mac_address} via {interface},DHCPOFFER on <*> to <*> via eth1,True,DHCPOFFER on <*> to <*> via <*>
193,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
194,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
195,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
196,DHCPREQUEST for 10.100.4.251 (10.100.0.250) from 00:11:43:e3:ba:c3 via eth1: unknown lease 10.100.4.251.,False,DHCPREQUEST for {requested_ip} ({offered_ip}) from {mac_address} via {interface},DHCPREQUEST for <*> (<*>) from <*> via eth1: unknown lease <*>.,True,DHCPREQUEST for <*> (<*>) from <*> via <*>
197,DHCPDISCOVER from 00:11:43:e3:ba:c3 via eth1: network A_net: no free leases,False,DHCPDISCOVER from {mac_address} via {interface},DHCPDISCOVER from <*> via eth1: network A_net: no free leases,True,DHCPDISCOVER from <*> via <*>
